Fund Name,Primary ISIN,Asset Class,SFDR,Legal Structure,Share Classes,Has Objective,Benchmark
"Allianz Money Market US $",LU0057107152,Fixed Income,Article 8,FCP,4,N,""
"Allianz Hong Kong Equity",LU0348735423,Equity,Article 6,SICAV,5,N,""
"Allianz US High Yield",LU0765755177,Fixed Income,Article 6,SICAV,19,N,""
"Allianz Europe Equity Growth Select",LU0920782991,Equity,Article 8,SICAV,20,N,""
"Allianz Total Return Asian Equity",LU0348824870,Equity,Article 8,SICAV,14,N,""
"Allianz Global Opportunistic Bond",LU2014481746,Fixed Income,Article 6,SICAV,30,N,""
"Allianz Best Styles Pacific Equity",LU1211505901,Equity,Article 6,SICAV,6,N,""
"Allianz Pet and Animal Wellbeing",LU1931536319,Equity,Article 8,SICAV,22,N,""
"Allianz Green Bond",LU2002517253,Fixed Income,Article 9,SICAV,23,N,""
"Allianz China A-Shares",LU1997244873,Equity,Article 8,SICAV,26,N,""
"Allianz All China Equity",LU2306818308,Equity,Article 8,SICAV,28,N,""
"Allianz Asia Pacific Income",LU2749775156,Multi Asset,Article 6,SICAV,4,N,""
"Allianz High Dividend Asia Pacific Equity",LU1211504847,Equity,Article 8,SICAV,8,N,""
"Allianz China A Opportunities",LU2289578879,Equity,Article 8,SICAV,17,N,""
"Allianz US Investment Grade Credit",LU2783575892,Fixed Income,Article 8,SICAV,36,N,""
"Allianz Euro Inflation-linked Bond",LU0988442017,Fixed Income,Article 8,SICAV,9,N,""
"Allianz Emerging Markets Short Duration Bond",LU1064047639,Fixed Income,Article 6,SICAV,10,N,""
"Allianz Multi Asset Risk Control",LU0268212239,Multi Asset,Article 8,FCP,1,N,""
"VermögensManagement Chance",LU0321021585,Multi Asset,Article 8,FCP,1,N,""
"VermögensManagement Wachstum",LU0321021312,Multi Asset,Article 8,FCP,1,N,""
"Allianz Europe Equity Growth",LU0256839191,Equity,Article 8,SICAV,24,N,""
"VermögensManagement Balance",LU0321021155,Multi Asset,Article 8,FCP,2,N,""
"Allianz Europe Small Cap Equity",LU0293315023,Equity,Article 8,SICAV,8,N,""
"Allianz Innovation Souveraineté Européenne",FR0000011975,Equity,Article 8,SICAV,3,N,""
"VermögensManagement Substanz",LU0321021072,Multi Asset,Article 8,FCP,1,N,""
"Allianz Strategy 50",LU0995865168,Multi Asset,Article 8,SICAV,11,N,""
"Allianz Global High Yield",LU2879808843,Fixed Income,Article 8,SICAV,13,N,""
"Allianz Climate Transition Europe",LU1865149808,Equity,Article 8,SICAV,5,N,""
"Allianz Global Equity Insights",LU1508476725,Equity,Article 8,SICAV,11,N,""
"Allianz Strategy 15",LU2696137269,Multi Asset,Article 8,SICAV,8,N,""
"Allianz Emerging Markets Equity",LU1136106207,Equity,Article 6,SICAV,11,N,""
"Allianz Best Styles Europe Equity",LU3172206933,Equity,Article 6,SICAV,15,N,""
"Allianz European Equity Dividend",LU0414045582,Equity,Article 8,SICAV,27,N,""
"Allianz Cyber Security",LU2286300715,Equity,Article 8,SICAV,17,N,""
"IndexManagement Substanz",LU1720045712,Multi Asset,Article 6,SICAV,1,N,""
"Allianz Global Dividend",LU1202788789,Equity,Article 8,SICAV,8,N,""
"IndexManagement Balance",LU1720045803,Multi Asset,Article 6,SICAV,1,N,""
"Allianz Strategy Select 30",LU1901058815,Multi Asset,Article 8,SICAV,2,N,""
"IndexManagement Wachstum",LU1720045985,Multi Asset,Article 6,SICAV,1,N,""
"Allianz Balanced Income and Growth",LU1221075150,Multi Asset,Article 8,SICAV,18,N,""
"Allianz Emerging Markets SRI Bond",LU1958619352,Fixed Income,Article 8,SICAV,8,N,""
"Allianz American Income",LU2257996368,Fixed Income,Article 6,SICAV,24,N,""
"Allianz Flexi Asia Bond",LU0908815078,Fixed Income,Article 8,SICAV,19,N,""
"Allianz Thematica",LU1479563717,Equity,Article 8,SICAV,32,N,""
"IndexManagement Chance",LU1720046017,Multi Asset,Article 6,SICAV,1,N,""
"Allianz Convertible Bond",LU0706716205,Fixed Income,Article 8,SICAV,9,N,""
"Allianz Global Floating Rate Notes Plus",LU1873969643,Fixed Income,Article 8,SICAV,49,N,""
"Allianz Global Credit",LU2339513587,Fixed Income,Article 8,SICAV,6,N,""
"Allianz Emerging Markets Corporate Bond",LU1974910272,Fixed Income,Article 8,SICAV,13,N,""
"Allianz Oriental Income",LU1752425543,Equity,Article 6,SICAV,19,N,""
"Allianz Euroland Equity Growth",LU0256839944,Equity,Article 8,SICAV,16,N,""
"Allianz Euro High Yield Bond",LU0482909818,Fixed Income,Article 8,SICAV,15,N,""
"Allianz SDG Global Equity",LU2591118620,Equity,Article 9,SICAV,8,N,""
"Allianz Multi Asset Long / Short",LU1481687926,Multi Asset,Article 6,SICAV,9,N,""
"Allianz Emerging Markets Sovereign Bond",LU1958620012,Fixed Income,Article 8,SICAV,25,N,""
"Allianz Advanced Fixed Income Euro",LU0706717351,Fixed Income,Article 8,SICAV,16,N,""
"Allianz Multi Asset Future",LU2276587388,Multi Asset,Article 8,SICAV,2,N,""
"Allianz Global Capital Plus",LU2324796635,Multi Asset,Article 8,SICAV,1,N,""
"Allianz Global Sustainability",LU0158827195,Equity,Article 8,SICAV,34,N,""
"Allianz Global Diversified Dividend",LU3070532091,Equity,Article 6,SICAV,14,N,""
"Allianz Credit Opportunities Plus",LU2002517923,Fixed Income,Article 6,SICAV,10,N,""
"Allianz Better World Defensive",LU2364420633,Multi Asset,Article 9,SICAV,7,N,""
"Allianz Credit Opportunities",LU1953144034,Fixed Income,Article 8,SICAV,11,N,""
"Allianz Income and Growth",LU0766462104,Multi Asset,Article 6,SICAV,77,N,""
"Allianz SDG Euro Credit",LU0706716890,Fixed Income,Article 9,SICAV,7,N,""
"Allianz Global Artificial Intelligence",LU1548497186,Equity,Article 8,SICAV,42,N,""
"Allianz Euro Bond",LU0165915215,Fixed Income,Article 8,SICAV,13,N,""
"Allianz Better World Moderate",LU2364421284,Multi Asset,Article 9,SICAV,8,N,""
"Allianz Global Intelligent Cities Income",LU2330049870,Multi Asset,Article 8,SICAV,22,N,""
"Allianz Dynamic Multi Asset Strategy SRI 75",LU1089088311,Multi Asset,Article 8,SICAV,27,N,""
"Allianz US Large Cap Value",LU2881764000,Equity,Article 8,SICAV,14,N,""
"Allianz Best Styles US Equity",LU1157230142,Equity,Article 8,SICAV,21,N,""
"Allianz Advanced Fixed Income Short Duration",LU0856992614,Fixed Income,Article 8,SICAV,15,N,""
"Allianz Asian Multi Income Plus",LU1218110499,Multi Asset,Article 6,SICAV,15,N,""
"Allianz Advanced Fixed Income Global",LU1209235446,Fixed Income,Article 8,SICAV,1,N,""
"Allianz Little Dragons",LU0348766576,Equity,Article 6,SICAV,4,N,""
"money mate entschlossen",LU2349426200,Multi Asset,Article 8,SICAV,1,N,""
"money mate mutig",LU2349430228,Multi Asset,Article 8,SICAV,1,N,""
"money mate moderat",LU2349429212,Multi Asset,Article 8,SICAV,1,N,""
"Allianz Smart Energy",LU2048585439,Equity,Article 8,SICAV,14,N,""
"VermögensManagement Wachstumsländer Balance",LU0654786689,Multi Asset,Article 6,FCP,2,N,""
"money mate defensiv",LU2349425061,Multi Asset,Article 8,SICAV,1,N,""
"Allianz FinanzPlan 2050",LU0239384059,Multi Asset,Article 8,FCP,2,N,""
"Allianz Emerging Markets Select Bond",LU2041105730,Fixed Income,Article 6,SICAV,16,N,""
"Allianz Better World Dynamic",LU2364421870,Multi Asset,Article 9,SICAV,7,N,""
"Allianz Treasury Short Term Plus Euro",LU0178431259,Fixed Income,Article 8,SICAV,7,N,""
"Allianz Renminbi Fixed Income",LU0631905352,Fixed Income,Article 6,SICAV,7,N,""
"Allianz Target Maturity Euro Bond II",LU2637966594,Fixed Income,Article 8,SICAV,5,N,""
"Allianz Capital Plus Global",LU2337294180,Multi Asset,Article 8,SICAV,5,N,""
"Allianz Dynamic Commodities",LU0542493225,Multi Asset,Article 6,SICAV,7,N,""
"Allianz GEM Equity High Dividend",LU2969692735,Equity,Article 6,SICAV,20,N,""
"Allianz European Micro Cap",LU0594339896,Equity,Article 6,SICAV,2,N,""
"Allianz Global Metals and Mining",LU0589944643,Equity,Article 6,SICAV,9,N,""
"Allianz Premium Champions",LU2710823399,Equity,Article 6,SICAV,4,N,""
"VermögensManagement RenditeStars",LU1312033811,Multi Asset,Article 8,FCP,2,N,""
"Allianz Europe Equity powered by Artificial Intelligence",LU2397364675,Equity,Article 6,SICAV,1,N,""
"Allianz US Equity powered by Artificial Intelligence",LU2397366027,Equity,Article 6,SICAV,2,N,""
"Allianz Global Diversified Credit",LU1480268660,Fixed Income,Article 8,SICAV,20,N,""
"VermögensManagement AktienStars",LU1739331426,Equity,Article 8,FCP,3,N,""
"Allianz Target Maturity Euro Bond III",LU2730223331,Fixed Income,Article 8,SICAV,7,N,""
"Allianz Global Equity powered by Artificial Intelligence",LU2397363941,Equity,Article 6,SICAV,3,N,""
"Allianz Global Income",LU2462157582,Multi Asset,Article 6,SICAV,15,N,""
"Allianz Best Styles Global Equity",LU1075359262,Equity,Article 6,SICAV,29,N,""
"Allianz Europe Equity SRI",LU0542502157,Equity,Article 8,SICAV,8,N,""
"Allianz Strategic Bond",LU2072100485,Fixed Income,Article 6,SICAV,26,N,""
"Allianz European Bond RC",LU1728569424,Fixed Income,Article 6,SICAV,4,N,""
"MetallRente FONDS PORTFOLIO",LU0147989353,Multi Asset,Article 8,FCP,3,N,""
"Allianz Select Income and Growth",LU2403377976,Multi Asset,Article 6,SICAV,9,N,""
"VermögensManagement Einkommen Europa",LU0322926154,Multi Asset,Article 8,FCP,1,N,""
"AEVN CDO - Cofonds",LU0305077207,Fixed Income,Article 6,FCP,1,N,""
"Allianz Global Water",LU2226248511,Equity,Article 8,SICAV,31,N,""
"Allianz Euro Cash",LU0052221412,Fixed Income,Article 8,FCP,5,N,""
"Allianz Dynamic Multi Asset Strategy SRI 50",LU1019989323,Multi Asset,Article 8,SICAV,27,N,""
"Allianz Stiftungsfonds",LU0224473941,Multi Asset,Article 8,FCP,3,N,""
"Allianz Global Allocation Opportunities",LU2743032984,Multi Asset,Article 8,SICAV,9,N,""
"Allianz Dynamic Asian High Yield Bond",LU1574759913,Fixed Income,Article 6,SICAV,26,N,""
"SK Welt",LU1103691405,Equity,Article 6,FCP,2,N,""
"Allianz Asia Ex China Equity",LU0348788117,Equity,Article 8,SICAV,4,N,""
"SK Themen",LU1103691827,Equity,Article 6,FCP,2,N,""
"Allianz SRI Multi Asset 75",LU2397363784,Multi Asset,Article 8,SICAV,1,N,""
"Allianz Global Equity Unconstrained",LU0342677829,Equity,Article 8,SICAV,10,N,""
"Allianz Climate Transition Credit",LU2400032525,Fixed Income,Article 8,SICAV,5,N,""
"Allianz Japan Smaller Companies Equity",LU1941710565,Equity,Article 6,SICAV,3,N,""
"SK Europa",LU1103691660,Equity,Article 6,FCP,2,N,""
"ALLIANZ SECURICASH SRI",FR0010017731,Fixed Income,Article 8,FCP,3,N,""
"Allianz Target Maturity Euro Bond IV",LU2829845390,Fixed Income,Article 8,SICAV,6,N,""
"Allianz Europe Equity Value",LU1143163779,Equity,Article 8,SICAV,6,N,""
"Allianz Europe Small and Micro Cap Equity",LU1941714476,Equity,Article 8,SICAV,2,N,""
"Allianz Best Styles Euroland Equity",LU0178439401,Equity,Article 6,SICAV,6,N,""
"Allianz Strategy4Life Europe 40",LU2401737866,Multi Asset,Article 8,SICAV,2,N,""
"Allianz US Short Duration High Income Bond",LU1282651808,Fixed Income,Article 8,SICAV,42,N,""
"Allianz Strategy Select 75",LU1459824642,Multi Asset,Article 8,SICAV,2,N,""
"Allianz UK Government Bond",LU2462158044,Fixed Income,Article 6,SICAV,6,N,""
"Allianz Alternative Investment Strategies",LU1622987391,Multi Asset,Article 6,SICAV,1,N,""
"Allianz Global Bond Fund",LU1956190000,Fixed Income,Article 8,SICAV,1,N,""
"Allianz Volatility Strategy Fund",LU0417273140,Multi Asset,Article 6,SICAV,12,N,""
"Allianz Strategy Select 50",LU1459824568,Multi Asset,Article 8,SICAV,3,N,""
"Allianz Dynamic Multi Asset Strategy SRI 30",LU2799046136,Multi Asset,Article 8,SICAV,16,N,""
"Allianz Enhanced Short Term Euro",LU2531762297,Fixed Income,Article 8,SICAV,13,N,""
"Allianz Euro High Yield Defensive",LU2350836396,Fixed Income,Article 8,SICAV,6,N,""
"Allianz HKD Income",LU0815945547,Fixed Income,Article 6,SICAV,6,N,""
"Allianz ActiveInvest Defensive",LU2208987763,Multi Asset,Article 8,SICAV,2,N,""
"Allianz ActiveInvest Balanced",LU2208987508,Multi Asset,Article 8,SICAV,2,N,""
"Allianz Strategiefonds Balance",DE0009797258,Multi Asset,Article 8,German investment fund (trust style),4,N,""
"Allianz China Future Technologies",LU2778985510,Equity,Article 6,SICAV,17,N,""
"Allianz ActiveInvest Dynamic",LU2208987680,Multi Asset,Article 8,SICAV,2,N,""
"VermögensManagement RentenStars",LU1910776522,Fixed Income,Article 8,FCP,2,N,""
"Allianz Euro Government Bond",LU1992136876,Fixed Income,Article 8,SICAV,3,N,""
"Allianz Japan Equity",LU2636795390,Equity,Article 8,SICAV,14,N,""
"Allianz Global Small Cap Equity",LU2969692578,Equity,Article 6,SICAV,12,N,""
"Allianz Asian Small Cap Equity",LU2420271673,Equity,Article 6,SICAV,9,N,""
"Allianz Euro Oblig Court Terme ISR",FR0010914572,Fixed Income,Article 8,FCP,5,N,""
"Allianz Emerging Europe Equity",LU1992127883,Equity,Article 6,SICAV,2,N,""
"Allianz Euro Balanced",LU1997085466,Multi Asset,Article 8,SICAV,2,N,""
"Allianz Clean Planet",LU2211813873,Equity,Article 8,SICAV,7,N,""
"Allianz FinanzPlan 2025",LU0239365264,Multi Asset,Article 8,FCP,2,N,""
"Allianz Best Styles Europe Equity SRI",LU2025542882,Equity,Article 8,SICAV,5,N,""
"Allianz Floating Rate Notes Plus",LU1089088741,Fixed Income,Article 8,SICAV,14,N,""
"Allianz FinanzPlan 2030",LU0239367716,Multi Asset,Article 8,FCP,2,N,""
"Allianz Global Equity Growth",LU1625122699,Equity,Article 8,SICAV,17,N,""
"Allianz Euro Credit SRI",LU1149865930,Fixed Income,Article 8,SICAV,19,N,""
"Allianz Global Infrastructure ELTIF",LU2802865670,Private Markets,Article 8,S.C.A., SICAV-Part II,10,N,""
"Allianz Dynamic Multi Asset Strategy SRI 15",LU1089088071,Multi Asset,Article 8,SICAV,19,N,""
"Allianz FinanzPlan 2035",LU0239368102,Multi Asset,Article 8,FCP,2,N,""
"Allianz Strategie 2036 Plus",LU0279127962,Fixed Income,Article 6,FCP,1,N,""
"Allianz Food Security",LU2211817197,Equity,Article 8,SICAV,9,N,""
"Allianz FinanzPlan 2040",LU0239368953,Multi Asset,Article 8,FCP,2,N,""
"Allianz Best Styles Global Equity SRI",LU2034157706,Equity,Article 8,SICAV,17,N,""
"Allianz Systematic Enhanced US Equity",LU2607062929,Equity,Article 8,SICAV,6,N,""
"Allianz FinanzPlan 2045",LU0239369506,Multi Asset,Article 8,FCP,2,N,""
"Allianz LJ Risk Control Fund USD FCP-FIS",LU0509224217,Multi Asset,Article 6,FCP,1,N,""
"Anlagestruktur 1",LU0988484951,Multi Asset,Article 6,FCP,1,N,""
"Allianz German Small and Micro Cap",LU1877638434,Equity,Article 6,SICAV,6,N,""
"Allianz US Equity Fund",LU0256843979,Equity,Article 6,SICAV,12,N,""
"Allianz AI Income",LU1865151531,Multi Asset,Article 6,SICAV,11,N,""
"Allianz India Equity",LU2868113379,Equity,Article 8,SICAV,15,N,""
"Allianz Best Styles US Small Cap Equity",LU3074453104,Equity,Article 8,SICAV,13,N,""
"VermögensManagement DividendenStars",LU2550120963,Equity,Article 8,SICAV,4,N,""
"Allianz German Equity",LU0840617350,Equity,Article 8,SICAV,3,N,""
"Allianz Trend and Brands",LU2211813287,Multi Asset,Article 6,SICAV,1,N,""
"Allianz Defensive Mix FCP-FIS",LU1899053786,Multi Asset,Article 6,FCP,1,N,""
"Allianz Advanced Fixed Income Euro Aggregate",LU2208987847,Fixed Income,Article 6,SICAV,1,N,""
"Allianz Target Maturity Euro Bond I",LU2595382461,Fixed Income,Article 8,SICAV,2,N,""
"Allianz Positive Change",LU2211815142,Equity,Article 8,SICAV,9,N,""
"Allianz Advanced Fixed Income Global Aggregate",LU1260871014,Fixed Income,Article 8,SICAV,7,N,""
"Allianz Emerging Markets Equity Opportunities",LU1992126489,Equity,Article 6,SICAV,2,N,""
"Allianz Capital Plus",LU1254136416,Multi Asset,Article 8,SICAV,5,N,""
"PremiumMandat Balance",LU0268208047,Multi Asset,Article 8,FCP,2,N,""
"Allianz Emerging Markets Equity SRI",LU2571887368,Equity,Article 8,SICAV,11,N,""
"PremiumMandat Dynamik",LU0268210969,Multi Asset,Article 8,FCP,2,N,""
"Allianz European Autonomy",LU3204039286,Equity,Article 8,SICAV,9,N,""
"Allianz Selection Small and Mid Cap Equity",LU1505875739,Equity,Article 8,SICAV,1,N,""
"Flexible Portfolio",LU0316909273,Multi Asset,Article 6,FCP,1,N,""
"Allianz Dynamic Allocation Plus Equity",LU2243729576,Equity,Article 8,SICAV,8,N,""
"Allianz Euro Bond Short Term 1-3 Plus",LU1221649186,Fixed Income,Article 8,SICAV,3,N,""
"Allianz Global Hi-Tech Growth",LU0348723411,Equity,Article 8,SICAV,4,N,""
"Allianz China Equity",LU1339317080,Equity,Article 8,SICAV,15,N,""
"Allianz Global Government Bond",LU1720048062,Fixed Income,Article 6,SICAV,2,N,""
"Allianz Best Styles Global AC Equity",LU1387904524,Equity,Article 6,SICAV,5,N,""
"Allianz Selection Alternative",LU1418653660,Multi Asset,Article 6,SICAV,2,N,""
"Allianz Global Aggregate Bond",LU1720047171,Fixed Income,Article 6,SICAV,3,N,""
"Best-in-One",LU0072229809,Multi Asset,Article 6,FCP,1,N,""
"Allianz PIMCO High Yield Income Fund",LU0087342167,Fixed Income,Article 6,FCP,1,N,""
"Allianz Selection Fixed Income",LU1418646292,Fixed Income,Article 8,SICAV,2,N,""
"Allianz Strategy 75",LU1906304982,Multi Asset,Article 8,SICAV,8,N,""